atom_numbers,value
N1,10.53721852390054
H2,1.935106930976784
H3,1.9154882827206432
C4,9.621601558133175
H5,2.058991719416949
C6,9.625547620337025
H7,2.0867391054863527
H8,2.0499297370820706
C9,9.417599133556298
C10,9.4881162369261
H11,2.0803386939664525
C12,9.49997159286864
H13,2.087448577781432
C14,9.484995552067808
H15,2.0778120595403826
C16,9.48745400343168
H17,2.078998120642346
C18,9.492995086350787
H19,2.078908517781189
C20,9.742439228857684
O21,10.944904887674594
N22,10.357653436328892
H23,1.8707763608612473
C24,9.59141210294651
H25,2.032726681833139
C26,9.620584927289018
H27,2.089590473589103
H28,2.080210050009075
C29,9.574532645872276
H30,2.095633238421261
C31,9.712177870941552
H32,2.0943105960850916
H33,2.08975918884497
H34,2.0944817949937438
C35,9.72510544473846
H36,2.0983022233476794
H37,2.0676239039305155
H38,2.090647224897946
C39,9.753493406753018
O40,10.929701815401112
O41,10.936686087190932
H42,1.760995260848805
