atom_numbers,value
N1,10.507942137737043
H2,1.9435910841017352
H3,1.9177896884187242
C4,9.607112870243098
H5,2.04981596661672
C6,9.611389093400827
H7,2.0897442642630115
H8,2.073199761854954
C9,9.442152154671277
C10,9.500683283541477
H11,2.08018624055641
C12,9.528399848182383
H13,2.0836005176460946
C14,9.52792374611986
H15,2.0818588881788673
C16,9.516732172380273
H17,2.081282196704361
C18,9.531302726554298
H19,2.082244799085581
C20,9.683566190761123
O21,10.932847553674568
N22,10.296004457369282
C23,9.58047914327303
H24,2.0345818019232027
C25,9.607358147890336
H26,2.0710578399221813
H27,2.070303704472763
C28,9.619393868085394
H29,2.0736306860642912
H30,2.074694052280708
C31,9.64136734926759
H32,2.0850436315216574
H33,2.0863991084241347
C34,9.716191100367075
O35,10.905646792960162
O36,10.898569616105197
H37,1.7610294852362456
