atom_numbers,value
N1,10.465407475488357
H2,1.9195268127945937
C3,9.609510123563812
H4,2.0956471804748635
C5,9.633159601644936
H6,2.0774429616126375
H7,2.0883795287821316
C8,9.644700041233628
H9,2.0853261720950678
H10,2.089088197365456
C11,9.660867896434617
H12,2.0880968825258055
H13,2.095673955263429
C14,9.649888134873713
O15,10.894095877888
N16,10.32101419668661
H17,1.8773388212931863
C18,9.635613610312507
H19,2.040176028254587
H20,2.0385590255872996
C21,9.68941053930376
O22,10.866199076140136
O23,10.859608080193391
H24,1.7526191444627
