 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.812459472303964,2.862792477919383,0.08442672810990837,0.19509971465025516,0.00943316027944796,0.008399237812375393,0.224587548619206,0.02825067226578848,0.005107820466502266,2.9163023302925897,0.09896553201620972,0.08025798852002275,0.1866785757122526,0.0387526704831484,0.07990348228514371,0.13612189765908944,0.010191154065343183,0.002295652308230034,0.0004892948899622163,0.0001000942867945831,0.00021057582595568336,0.00010582972239592259,2.27022526311238e-06,0.00020958943387959506,0.00017190095721630883,1.6002914936308343e-05,9.027259726246406e-05,2.3964680967242247e-05,4.181559641658339e-06,1.7347960463709455e-06,1.2206884236753979e-06,0.0011817486037063174,0.0007190633458648843,0.0002251388519072528,2.2060338364937593e-05
H2,0.0,0.0,0.10437453577312006,0.012841051983385254,0.005228234039933999,9.724785949161152e-05,0.00012796397715986174,0.006780805270936496,0.0004021452456015595,0.001792850519651168,0.09839324658742266,0.03171255583584087,0.008996404199534735,0.020917249437011898,0.004012257865461888,0.002616407646490515,0.0008919787966150672,0.00028763633635797703,0.00034655995148447083,2.6173128724105155e-05,9.739323221236162e-07,2.3755125248547948e-05,2.2970671474054072e-05,4.175615764268059e-07,3.771804625918307e-05,3.54260916790583e-05,2.2376729567064046e-06,1.554123061686674e-05,2.8597887687942247e-06,1.5281155958390968e-06,9.963309777205609e-08,6.748326510930269e-07,2.293545623155424e-05,1.354648667317715e-05,7.1505085791345735e-06,2.1898150233123914e-06
C3,0.0,0.0,0.0,1.9694524166212573,2.61131368107416,0.0760472354209738,0.0822150738989702,0.19036584707293752,0.02237030015244712,0.002854170456314087,0.25153795299221904,0.007163607442103981,0.028071569802315732,2.654717963211888,0.2923284746509475,0.2306322752340574,0.02091933908449628,0.03740734756068978,0.005157375559821431,0.003572184703016984,0.000857730097509446,0.00037141378567656647,7.827525830350623e-05,1.1550888922906566e-05,0.0009984950958869532,0.0003156491833506969,8.340600921896701e-05,0.0005402979641808692,7.589418720541086e-05,1.742385964842441e-05,4.9529026022732126e-06,1.3624815889512476e-05,0.003837537415290637,0.00029879725124631884,0.0011961048826372583,0.0002415726056766987
H4,0.0,0.0,0.0,0.0,0.0732206709464076,0.011834767749426156,0.011676888138044905,0.008594594430535674,8.62606643206032e-05,1.398163787214024e-05,0.022517211767361767,0.0003839888155450222,0.001081332838390292,0.1121550775087723,0.021523703107432457,0.022266283079754867,0.0011952470051064257,0.0020988424776549053,4.926593753418196e-05,0.000558563121294986,1.3040797752772448e-05,5.467626996280561e-05,2.3431713663812914e-05,4.679778349725439e-06,0.0002295969372823059,0.0001658698946112036,7.526321772255429e-06,1.964338390658682e-05,1.1540369859619481e-05,3.6280374771102686e-06,1.1420427270536493e-07,4.9962108958911955e-06,0.0008036151431822791,4.89835560252283e-05,0.00018351512840875106,6.842820219854495e-05
C5,0.0,0.0,0.0,0.0,0.0,2.0481091013048145,1.9770114352957888,2.54942758193058,0.07688780670165407,0.08178738407019082,0.20658800225932467,0.006038280889736125,0.026637957485136976,0.17766923082711425,0.047036293146154096,0.028515682400141476,0.004251216396702007,0.00416193995980102,0.00048265030332317327,0.0012835408647741686,0.00016888203687770442,7.795492730408582e-05,2.738453653017281e-05,4.092739907646248e-06,0.0002248420698188619,0.00021671597035921586,7.458181353836579e-06,2.461285118049439e-05,1.9633478486533185e-05,6.038575020239634e-06,4.1008012519050396e-07,6.083454655803067e-06,0.00035399529886928627,6.519480247471621e-05,0.00010482615951054597,1.4104145068416507e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02706141673089646,0.08077398831782157,0.010182440059699704,0.022529831630658137,0.004459705645387002,0.0005061980482654604,3.690793883959209e-05,0.029684022438869917,0.021347769244406734,0.0040484139033782895,6.275987944448502e-05,0.000556708788388649,2.033263802370122e-05,0.00011452750369755904,1.8553483398742188e-05,1.377411765690617e-05,1.7271149412856346e-06,4.719995505553243e-07,0.00011458180983314747,0.00019983033443748965,1.089468647141878e-05,2.9893895638899437e-06,2.3618503764977206e-06,6.020771146086901e-07,3.3454271131105884e-08,7.41758934275083e-08,5.424532617537281e-05,8.179413127473723e-06,1.3783342680206978e-05,3.590239303630227e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07952130507780808,0.002547232550330625,0.011852302221754485,0.022204523055602943,0.00046019589930623717,0.0011771428009388352,0.009907487068379739,0.0019852289706152604,0.0018956049125822272,7.992253604616195e-05,0.000393430856460375,3.679647865784119e-05,7.049774195544423e-05,2.382250559573862e-05,4.718182636809232e-06,2.2685094387409066e-06,1.045138648958499e-07,1.883750854370092e-05,1.006255514091059e-05,3.67304733073226e-07,5.959990824644379e-06,8.740921564331927e-07,3.935652348463492e-07,8.608640644780508e-08,2.5782305468347033e-07,3.335341544041803e-05,1.8902926967045985e-06,1.0033647983243021e-05,2.2975306126493678e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156180285214809,1.8683061567785992,2.692347038972498,0.07900575195591508,0.07465689077600413,0.016670659068393268,0.006266275066279442,0.004392386061930237,0.003112102182607379,0.0008233320068347094,9.970081701748956e-05,0.00017096379761552538,2.9071545578629454e-05,6.233755721726797e-05,0.00014187934295595284,1.4060326305465054e-06,4.116834420028748e-05,6.3965770336738e-05,2.1485484835714885e-06,2.8585494744604034e-06,8.352432562530598e-06,3.134969108309349e-06,3.800018486543877e-07,7.800354944187404e-07,0.0001028512348295596,2.047895980941683e-05,2.0502740885969262e-05,2.93675301343832e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02515534531083663,0.07986848753795539,0.006996545945965771,0.0013736252239158198,0.0008154171447227743,0.00016661866250644586,0.000882123470820062,0.00027463974791652745,0.00016366547594381942,3.274448669543517e-06,4.561698802252323e-05,8.1229454182985e-06,8.200000638058924e-06,8.492587935338136e-06,1.4532215586449126e-07,1.0427769123078079e-05,1.814001721300862e-05,1.8387661127050592e-07,1.0310018416781475e-07,9.538700733724426e-07,4.7642825373728215e-07,2.2679307987161224e-08,1.8655109323972852e-07,6.8728053410627155e-06,2.062100610378259e-06,6.437304936879329e-07,1.8651700717242647e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08192514261644512,0.03089407670355393,0.008160581964170799,0.001298434614584787,0.0005332398325117449,0.00017591055445187465,0.00010464118436659398,3.8107257999575594e-05,1.3004429288976382e-05,1.0600614094746774e-05,3.5628136825227585e-06,2.3753961155392744e-05,5.363041865602547e-05,1.256522050852027e-07,1.4750745247926744e-05,2.9189359256776015e-05,4.944853595478804e-07,9.658233479648004e-08,1.7494192798839237e-06,8.793012113983423e-07,8.750057922668475e-08,1.8049637118267015e-08,1.9687790731026666e-06,9.047078506352335e-07,6.328238413289e-07,7.965991088987323e-08
