atom_numbers,value
N1,10.497978670219435
H2,1.9136218865352697
C3,9.609020466012643
H4,2.088016784739816
C5,9.631031551814765
H6,2.08644901933968
H7,2.086298288854419
C8,9.647920246409026
H9,2.0865020345631904
H10,2.088990457521821
C11,9.65084205042751
H12,2.0896953447161666
H13,2.1032867764617915
C14,9.678849233562772
O15,10.938854796678484
N16,10.382995352865112
H17,1.8892124291416406
C18,9.583230968183502
H19,2.0614295825590423
C20,9.556378914208612
H21,2.0540923792928805
C22,9.717463710818842
H23,2.09413029104906
H24,2.084040528637696
H25,2.0833001942492038
C26,9.70952445871507
H27,2.084188362993917
H28,2.0991615021906154
H29,2.0788829850385904
C30,9.773201101165082
O31,10.88811280745065
O32,10.884895278809866
H33,1.763338186614141
