 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,N26,H27,C28,N29,H30,H31,N32,H33,H34,C35,O36,O37,H38
N1,0.0,1.848805748303626,1.900709529962973,2.7846609270113416,0.10848560338298463,0.1836116931174734,0.02745538006130377,0.011553542031933928,0.03575871013796586,0.05813098188401833,0.18347329524167683,0.03549910529295437,0.0710670476054833,0.11403254470801982,0.008789322653068588,0.0014976036749436705,0.0009665105163578075,7.39205934910947e-05,0.00017707854610948814,0.00020381992178485075,3.179321392632328e-05,0.0001335109083894226,7.895009246453033e-05,8.772395967204805e-05,3.08446020724773e-06,2.158819737040074e-05,1.3162699404878353e-06,5.447601408364866e-05,0.00023998502282504552,0.00025059207549382734,2.179523314493892e-05,1.7204056946634738e-05,1.3983068971601398e-06,3.183488401781176e-07,0.001307972166910365,0.0013686934234663217,0.0002453881108140793,1.2462689761072454e-05
H2,0.0,0.0,0.030073588093916026,0.10320413968691367,0.006533828175429912,0.03294484636073636,0.002058476854932101,0.00068419084945881,0.002968976056535011,0.0013022916053058164,0.006201025217186573,0.0012702718715649208,0.007104854128587634,0.007149561486902378,0.0005707590545591668,1.191977077930062e-05,0.00034731511701424633,4.672611124689752e-06,3.827098039610455e-05,2.4717191138168282e-05,1.1580864676341562e-05,5.966226309217504e-06,2.9529603115641123e-05,1.1002207184640511e-05,8.037621166412379e-07,5.31813082726984e-06,1.3074602052132178e-06,6.613103303299006e-06,3.679352530649993e-05,4.13003551307245e-05,5.397031214382508e-06,1.5140071338848315e-06,3.8068115570943917e-07,9.246825016795412e-08,0.0003045408928176174,0.0011298404645527782,0.0001249324022789544,1.0983039114842441e-05
H3,0.0,0.0,0.0,0.10843339885103387,0.0035533233390396823,0.01856827360018698,0.0006582879779850614,0.008606400054335994,0.0014511835899161385,0.0008039286619465624,0.03059338814980661,0.005308603588245919,0.005425942207292311,0.0015141971123855402,0.0005264133718309028,0.00022658179371926046,0.00010852289304486007,1.2268604769882785e-06,2.0004579861732097e-05,4.3277483252612825e-05,7.002440103098806e-06,4.590609365262566e-05,1.4678349888774811e-05,2.949072763547278e-05,3.223898925597268e-08,2.453311035210959e-06,1.0456184251772527e-07,8.996997149179897e-06,5.487469381793009e-05,0.00011655026540657865,1.2141838454660103e-06,3.607763083834925e-06,9.725052163567227e-08,9.683668666937706e-08,0.00012068559351530173,5.238226386616862e-05,1.6218755600649892e-05,2.363915304171016e-06
C4,0.0,0.0,0.0,0.0,2.010208054855421,2.726244747783714,0.0919696047067613,0.09482255484966085,0.20607818505070669,0.015371367278820602,2.645011945912458,0.2746536804039653,0.22741213161762602,0.018405297261313014,0.038350866565357106,0.0030443783276605796,0.0034692457785520936,0.00018935995848723408,0.0009818149967730783,0.0011444289116193385,0.00011827573425660098,0.0010468979032312031,0.0007468027331544169,0.0008782159286697677,3.3254105514579635e-05,0.00011909723221134594,1.8151055673376604e-05,0.00021112173999957018,0.0012307086882683838,0.0021805080109166264,7.39224192309873e-05,6.643142745704766e-05,6.962742590710391e-06,2.186928703018509e-06,0.0036454019401217785,0.0004293132661526422,0.0010941284380743543,0.00022476839739915544
H5,0.0,0.0,0.0,0.0,0.0,0.10259248432135815,0.004861141947891001,0.003105646297336895,0.02678873890346045,0.002040646145994973,0.11620935360889506,0.01722558401853025,0.024770353171138737,0.00479506664452245,0.002573028144239986,8.337570358984969e-05,0.0003625205779496099,1.4182782253957527e-05,8.109460874594632e-06,8.650295611145609e-05,5.700958391807731e-06,1.1688382640651085e-05,0.0001655511352116612,0.0001878576389753306,4.052212858818294e-06,1.6722338881836052e-05,1.1501740042607622e-06,2.908772544341076e-05,0.0002471017167106071,0.00021166327548893804,6.544892034332506e-06,1.0823478576393875e-05,2.1651118811139014e-06,8.360759458092559e-07,0.0010170750309210774,4.748005506249875e-05,0.00023883803108470936,8.220942066472503e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.839438858867117,2.0419136438545062,3.043245355981859,0.11142684741934639,0.1985348852720046,0.04037495057864532,0.03257326242674037,0.0011573269032578715,0.004012210737501465,0.0004293899447207483,0.0014345774458506266,3.258205046074991e-05,0.00020780805586007034,0.0004528777479609336,9.472693118728337e-05,5.5612273910599086e-05,0.002302048988355343,0.005077425089510701,5.761588736485912e-05,0.0006406927005371266,5.296533913079493e-05,0.0006349873791032246,0.0034097429481862174,0.00160863280392054,0.00028940512517661166,0.00023071340928783324,1.9285060228857454e-05,1.6992471372212492e-06,0.0004262941513598073,8.838498237501158e-05,0.00011499353200414286,1.8297349581253286e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026335261393812592,0.10223568910899727,0.03461639445617348,0.009472252790885483,0.010356318502633854,0.001332721758294908,5.687834812606596e-05,0.0001328171384693544,1.2117904979902505e-05,2.8394177804536014e-05,3.966584815495722e-06,6.555364245652839e-06,9.000532614389378e-05,5.879299332267607e-06,2.3420231657800272e-05,0.00014851089423784103,0.00027886641081931174,1.0148110194396764e-06,0.0004982656960634824,6.389954439800505e-06,0.0007245170710390436,0.007466171606240635,0.0014668133822703933,0.00027423374773305476,0.00042409197184090086,1.765906244499682e-05,3.779654813573785e-07,1.9145350576454945e-05,1.2250958132176137e-05,2.5624790868095104e-06,6.784201735943185e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11091092918447365,0.007012925518987689,0.029170219489565774,0.004786906144951697,0.0039049587308819245,0.0001745684024503369,0.0008857430615938355,5.179749705597203e-05,0.00013988144224819088,4.6753890647899254e-06,4.4110549486608974e-05,5.101589638378812e-05,9.55867615659578e-06,8.705016591337156e-06,0.0008546433803588993,0.0030825550350499498,7.230253897372307e-06,0.00010547183871056909,1.0698788427410122e-05,7.470457430680533e-05,0.00013038299579704038,4.1601910902411277e-05,4.206865114331215e-05,2.6461806962974066e-05,1.0603769102779381e-06,1.6682657477673501e-07,8.119123594840794e-05,5.0754481057957435e-06,2.5459194779364758e-05,5.0678656260405575e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6814986950792188,0.03994224851967862,0.006482884344079287,0.008500632945967118,0.0010358616037179358,0.0010245688256901864,0.0001062491853986991,0.0003655770073115322,2.4603720235494286e-05,3.727776847373132e-05,0.0022002531636335643,0.0005785355385530266,8.122722075076805e-05,0.025194006225432594,0.07001284929143314,0.0002917938616154858,0.002008363166325744,0.00033284308945258356,0.00031064353174420356,0.0006389097747391964,0.00021077732063079502,6.513084192616425e-05,4.909228593356907e-05,8.439889813915968e-06,1.507589150184785e-06,0.0001256243997889428,3.165285307374366e-05,3.529164766315207e-05,8.780766320160005e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001951464226087829,0.0005267184467715458,0.0042733019139383766,0.001327368707799259,0.0003393500571705621,0.0001240795628036917,0.0001688143191185265,3.52553644713538e-05,1.7085845642750286e-06,0.00018172428253149242,4.3620997909332715e-05,4.810231160945477e-06,0.0008312390163658367,0.0008791894514368348,3.404467005418965e-06,0.00010809111564813456,1.7012845790809195e-05,2.9482288700588555e-05,3.135632538298072e-05,1.0780300567336809e-05,1.7496305191988526e-05,1.2180107829551368e-05,3.1353822271817933e-07,1.2465632681646355e-07,7.179202428775344e-05,1.7451181673178162e-05,1.7562501803292108e-05,2.972332146189416e-06
