atom_numbers,value
N1,10.52892982817259
H2,1.921853955621098
H3,1.925027356261594
C4,9.639728282967097
H5,2.0586973246722238
C6,9.677521732091924
H7,2.092357099366236
H8,2.0944109627507514
O9,10.958859455693137
H10,1.7889653658627651
C11,9.742384461313478
O12,10.955853739861517
N13,10.39149038548144
H14,1.8629533801824985
C15,9.622251367176961
H16,2.0291127825601425
C17,9.74740373089178
H18,2.0500016445314815
H19,2.0422895488215875
S20,11.184701277644313
H21,2.120643708009296
C22,9.742570132543253
O23,10.895355000805443
O24,10.915277443677711
H25,1.7582351609779345
