atom_numbers,value
N1,10.550335354820112
H2,1.934557967076172
H3,1.9412062580015064
C4,9.645669822723333
H5,2.059341915183149
C6,9.654164877360339
H7,2.070986097592135
H8,2.1003664856648427
O9,10.98477162465215
H10,1.8129049480612698
C11,9.710417427040397
O12,10.913223706691015
N13,10.384035283907945
H14,1.9153439503460423
C15,9.589942290230972
H16,2.020283138790215
C17,9.619660211823286
H18,2.070578954794945
H19,2.0377278578513796
C20,9.642488856340538
H21,2.0768104015643827
H22,2.0395669088109947
C23,9.735317470191264
O24,10.943055855240427
N25,10.43894120423181
H26,1.8806571306052322
H27,1.888377479751397
C28,9.7421272864344
O29,10.934155119547462
O30,10.923957602749065
H31,1.756561542580895
