 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,N21,C22,H23,C24,H25,N26,H27,C28,O29,O30,H31
N1,0.0,1.9899632953095834,1.941289249887058,2.908436103398166,0.09720574616289601,0.18133359098081864,0.02771943433475732,0.01243005938119257,0.04488772873937555,0.0033702836755751253,0.2464946511326294,0.048129985948551196,0.038090314732330516,0.0017363734481690152,0.004874094082516198,0.00036186462662035623,0.0012629819539977521,0.00024393197943217704,3.573752227070681e-05,8.15471609191959e-05,7.498561478716526e-05,2.060668150123679e-05,1.6437253276269104e-06,1.0492740635636988e-05,3.7552626785952725e-07,1.080104917915159e-05,4.4832271628436615e-07,0.0015537236717384495,0.00016412534295026648,0.00017921530996369006,2.6198003211241883e-05
H2,0.0,0.0,0.02768988913880044,0.10611157006622307,0.03461324882212158,0.01996424058330104,0.0037338195369778227,0.0005708443690204401,0.06775475961487332,0.0015360561680937135,0.00641243821708759,0.004379243299044933,0.0006514853575800839,0.00026446475072350317,0.00018936214780740368,1.4526612754917068e-05,9.714005017147365e-06,2.1010222188699856e-06,1.9643232906929597e-07,3.0005240246877563e-06,8.632650894013771e-06,1.3625769905711849e-06,3.2355735868350166e-08,8.680847648490086e-07,6.300261490288506e-08,2.831454587459703e-07,2.259946829674675e-08,2.1584859445811233e-05,7.530741957140208e-06,3.9334263061130414e-06,3.644866239937983e-07
H3,0.0,0.0,0.0,0.10215234676990592,0.002761358198082542,0.03338180800499757,0.00244259063989416,0.0007714233551467942,0.001834986004889294,4.9099300742483365e-05,0.014338697565605463,0.0010177253549230603,0.007636020132253063,7.245426110547015e-05,0.0006399084611162786,3.456812121771513e-05,7.99555398018903e-05,1.066622689926966e-05,3.412742205588515e-05,6.961000223792979e-06,4.393365767518809e-06,5.596897805881795e-06,9.294090896894147e-08,6.807949706200134e-07,5.5356263350958557e-08,1.698952245221541e-06,1.1281307221722159e-08,0.0004219046239881674,8.203414434360123e-05,6.089182800561588e-05,2.4357207528247216e-05
C4,0.0,0.0,0.0,0.0,2.0107444220962485,2.7448238720005924,0.09277664859732071,0.09565733213677774,0.20599164989673718,0.014642337430383678,2.6016560316332153,0.2555879361169296,0.23646292366751578,0.016937813289616743,0.03680513090050283,0.004056222810557619,0.003959227669281057,0.00120183735029733,0.00011807261294416449,0.0003621896272022751,0.0005305034946309767,6.144726599291439e-05,5.263933042121138e-06,6.733630641486688e-05,2.552416882073416e-06,2.5405555909935318e-05,1.3627942763161371e-06,0.0036280790610084546,0.0005235750470424655,0.0008655622259106516,0.00017957049654870882
H5,0.0,0.0,0.0,0.0,0.0,0.09253112931516605,0.0034836646484843747,0.0040310256471569605,0.024978299555117767,0.0009126386801376896,0.09694228353728662,0.021865063352364156,0.012292742720160232,0.011158091823116667,0.001831661168219867,0.00036618183621128786,0.00011326646778053728,1.9955944963623296e-05,2.75763367874049e-06,6.147337179918111e-05,0.00012037911567741588,1.69894528727621e-05,2.6964146015995283e-06,1.3260530736580733e-05,3.306053734331016e-06,3.936138444515791e-06,1.693848628026018e-07,4.905324783877063e-05,3.330814871815857e-05,2.0304110323277058e-05,2.0877087523185622e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9144735477800727,2.0409773655454506,3.127235387067438,0.11324718723691252,0.18022647722237264,0.03323585716700124,0.027804133746250043,0.0010843256524388778,0.005073772343342747,0.00029433128808509235,0.0004953322026528123,0.00010061495809465804,4.676871508269009e-05,2.7647376980910465e-05,3.087481157529326e-05,1.1411042460524046e-05,5.261739528528153e-07,8.184081221218609e-06,2.591035199728253e-07,4.245958740267675e-06,2.607937842347141e-07,0.0008550542460251942,0.00011972737769823383,0.00023657421146197621,8.121546512696032e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025610694971192283,0.11376489874828555,0.007910428771672473,0.009458140241161539,0.0018347897260646562,0.0005101592433318647,3.9480275159098355e-05,8.169564615356784e-05,2.266835040787285e-06,1.0245280134935086e-05,2.80102426364337e-06,1.0301262145517853e-06,7.961749606266721e-07,1.5470438052833657e-06,1.5484247994912437e-07,1.0468439004540642e-08,1.6096455413006083e-07,1.0515232018448728e-08,8.564782016939887e-08,7.94884380539429e-09,4.204690214648643e-05,0.00014348778028039355,1.6577237309967074e-05,1.3100720266390198e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10152103333592388,0.029291625675361255,0.02850790719622487,0.00488039532360629,0.004057060392739897,5.362618724680246e-05,0.0010369234521314663,7.690949476923947e-05,0.00011495786984683232,4.4952813228027466e-05,7.0893396773019646e-06,6.183163561379601e-06,2.4042309650917915e-06,1.946111517936444e-06,1.6836402250142157e-07,1.3635955722346438e-06,1.2618087241733633e-08,5.873167536751822e-07,6.447382627783327e-09,0.00012957693739190645,1.2085532543393285e-05,3.702377800940404e-05,8.9944149903598e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6895472218193972,0.026620214975785678,0.0800916399102589,0.005027660401049197,0.0017268876776904696,0.0012699048332912993,0.00034948326411921027,0.00015514977063724178,9.86188734675153e-06,4.4995197557851085e-06,4.842228715094821e-05,9.348405431375273e-05,1.3058014876568547e-05,4.380951464932892e-07,1.2692576175352133e-05,3.786207816158793e-07,1.2640459370799606e-05,2.130608411921031e-06,0.00016060057212441414,3.0440423328989552e-05,4.5866036398792276e-05,1.2501715906831912e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296797843268695,0.21035463721968195,0.007363977948719458,0.0002793355212800108,0.0006739818652407026,0.00010564890771180835,7.29838517111725e-05,2.170298776249524e-06,2.775254759335155e-07,5.693085632618722e-05,7.526927259116079e-05,1.3414175300541231e-05,3.1226179730836634e-07,1.4722502377551017e-05,4.332931005102125e-07,1.4811282945670357e-05,2.818569291962447e-06,3.109881383522861e-05,5.3308574390342756e-06,6.3485259781392855e-06,2.4027151146466252e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.451720794934202,3.558110123044281,0.13545572772717873,0.28772443610813137,0.021750051306531626,0.03255419313001015,0.003917544435971365,0.0010124475060948601,0.002615858355142109,0.0074608717097854604,0.0007273491227062778,2.4812615782687786e-05,0.0014440392570213845,1.4339419165843026e-05,0.0006613237799340532,6.682247210942904e-05,0.040858952243047114,0.010614176737019476,0.0076584594694584784,0.0012360954617353093
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5318857502400929,0.022896816336780756,0.07477147255362547,0.03894028719021436,0.008858724369890526,0.001151828467330418,0.0006050668172320472,0.0023842171940094414,0.002900989115979559,0.0005225258687763662,1.356242019334708e-05,0.000606783300633712,1.1773588384000888e-05,0.0004462105696261265,5.6930166024149464e-05,0.01627995987827323,0.0029335446594845674,0.002597285751839852,0.0006910839181488715
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.673477343675649,2.8510476624850205,0.10199620037118495,0.17807456526112406,0.02453173450889634,0.009948090449393043,0.01682624339498398,0.05968513507137836,0.0036690094197756595,0.00019271211749760653,0.008929084924811287,0.00014708069719104877,0.003898895822968776,0.0004378862925977778,0.19474552755402286,0.03130014970739242,0.029679618787055287,0.005110620041655967
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10028455218037036,0.024580357673559927,0.010701834130390497,0.0007462968497655709,0.0009772431538446202,0.018273465149472257,0.17323073357411212,0.003949316417577786,6.70031803404747e-05,0.014547226526427148,0.00012419201140456693,0.005908462628407052,0.0005049816618083458,0.004831332670228505,0.0024404201307665074,0.0009102937993831217,0.00026315269640142525
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954146441423131,2.688133349213704,0.09276447642888197,0.0916744417826536,0.17430572221761342,0.021320125712146726,0.045510590797530365,0.0002887659094408246,0.005883634171279101,0.00016481424049930027,0.009948365652263452,0.0005083720791222435,2.564693910442875,0.27007307914763046,0.2155301624191611,0.053916012612699626
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09322234448711386,0.004934622268522704,0.005408095903218779,0.024180704560816557,0.0027825405741394027,0.003544930835807425,1.4479681180290527e-05,0.0006493435487621158,8.11300329051079e-06,0.0010793802086805915,4.777182252979628e-05,0.10668671873442981,0.029772540853734264,0.011011329530366099,0.00041966084708011664
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9864209527751293,1.8573855086053324,2.8334507284213104,0.19101089534095195,0.24916618941087243,0.0042053349585117195,0.048686927341603625,0.0024132857033952737,0.0446781583952226,0.0023751985007163245,0.18067852074041665,0.04261717331302545,0.02984317434849343,0.0022372245205621866
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026228938140237856,0.11083911084615683,0.022803355205130882,0.011268023151773443,0.001856944815729733,0.003441696038490649,0.0008797876829040874,0.0014609816243661422,0.00014699549447616533,0.007244177106260796,0.0012850663831012188,0.013413263526258712,0.0003229945146312474
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09807027384115674,0.011747813247125594,0.041721057510603954,0.0001485577693443041,0.004630120263328319,4.9994434078604044e-05,0.007288818799617958,0.0003456961232068956,0.028622518395898355,0.00475700062648754,0.004042272622686416,0.0003672234649962913
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5331508720985156,4.086002069738169,0.11821271271311029,0.5500154084787344,0.036207309266194754,0.49431871503719205,0.02910415536352884,0.024689133210527126,0.004281016035400542,0.003241827304695785,0.0002813647302476463
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4181133755274894,0.025875013319297313,4.323191034712312,0.1133608825725343,0.5336947952774957,0.029413748404623297,0.002628454978499145,0.0007818708679003805,0.0005621754430215481,4.556449048886968e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9823246114277249,0.6213706878660554,0.02951130871691232,3.367128269154342,0.10871274499544481,0.005910832635847574,0.001150856592381927,0.000937714853408475,0.00011042585947873551
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030139541191228414,0.0008636678411284571,0.09834172177116374,0.004542687583435123,2.843217665726705e-05,5.60220115997101e-06,7.658781315256213e-05,7.659700048012752e-06
