atom_numbers,value
N1,10.58162633292909
H2,1.8977281201399219
H3,1.8991662970449805
C4,9.626230576898566
H5,2.0491646051224026
C6,9.626423157003911
H7,2.059581245526137
H8,2.079206783785769
O9,10.906273453992862
H10,1.7844888355087276
C11,9.759716893435256
O12,10.950202356399464
N13,10.39316757168506
H14,1.8803578673137693
C15,9.586561345436605
H16,2.0289896624417247
C17,9.615134292693668
H18,2.051239450301696
H19,2.052285191191834
C20,9.628905530817383
H21,2.0852218851561277
H22,2.0662700863081374
C23,9.637547754988269
H24,2.067574225940447
H25,2.064362116838128
C26,9.587453024775273
H27,2.044963763486651
H28,2.0424466195632363
N29,10.381255140273682
H30,1.8183162711447223
H31,1.8292020603142645
H32,1.816084374925596
C33,9.76238242422968
O34,10.92373305337225
O35,10.903381756038863
H36,1.7346666989253783
