 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
N1,0.0,1.8262358674269166,1.6376377161341709,2.9259534860004424,0.1005483346630669,0.1903579634963303,0.026955448581509556,0.00877025978623358,0.0595951287192934,0.11816701311687561,0.16962103624528485,0.03819324581864003,0.05834808249173472,0.08172238805497889,0.007650840339640072,0.0012769481114500714,0.0010956728045760922,0.00021260181285531754,9.579461966480185e-05,0.0001457439639426239,0.0001812352383345761,7.050189153179343e-05,3.6739362214516236e-05,1.8714086451598888e-06,3.38940311099406e-05,6.403225444318039e-07,2.1635082849330578e-05,1.0526198246374463e-07,1.4758423175775803e-05,2.76244986219254e-07,0.000892542516143513,0.0007074913232214264,0.0001688780515149771,1.2407790717317013e-05
H2,0.0,0.0,0.029608955053486152,0.1057980159955807,0.004744615515811956,0.013899372286006684,0.0004867637555350246,0.006155187499250703,0.0015623007309535364,0.0014151738092031962,0.031087153210802132,0.005781872592492077,0.005152140572675656,0.0014249747615970865,0.0005630192013834634,0.0002480403827240796,0.00015442573397328463,3.1802415541015705e-05,2.4054387249838882e-05,1.24661780602775e-05,1.4477298504456115e-05,1.917070238555141e-06,8.110070259803592e-06,7.864366913246101e-08,1.7497607092131773e-06,5.6161289174738727e-08,1.3400563877441485e-06,5.859037477407014e-09,6.015481292309666e-06,8.645598015277756e-09,0.00010751988182677863,5.2115056486834455e-05,1.095874157441834e-05,1.259790628038715e-06
H3,0.0,0.0,0.0,0.10167759063409443,0.004734160496277617,0.03331887932505628,0.0018203328743231495,0.0004560625674201457,0.0041752242627480785,0.0016732657458697897,0.00838278941821713,0.0016359859702537172,0.012886153617219454,0.00589217185141,0.0008518053211463705,3.097624962267176e-05,0.0006520272852371667,9.963268244539414e-05,2.019236871708685e-05,2.3869837016077255e-05,5.308678512294662e-05,1.6087797928499015e-05,8.72176947108727e-06,3.749380117490375e-07,4.6351583630199755e-06,2.656187163552204e-07,2.3830413675707263e-06,8.60777469302576e-08,5.905195195721191e-06,3.437653024462861e-07,0.00015142225019837419,0.0004078204462056867,4.538653737906628e-05,6.885217747498729e-06
C4,0.0,0.0,0.0,0.0,1.9325547835256425,2.3858210396655797,0.09531814432641217,0.09472679719212773,0.20092123011495722,0.023919687416340873,2.5744177471242753,0.2972456623328863,0.22102812242710942,0.014375805711603573,0.0363735378841627,0.003653442106235305,0.002879637856180367,0.0006398933120190797,0.000940356129620401,0.00022076358150305286,0.0002586173779120793,0.0001701717846576134,7.47751951920006e-05,7.815032407876288e-06,5.3538196548186257e-05,7.374241882907029e-06,3.074646193323982e-05,8.977920171737708e-07,1.9733008284367193e-05,1.450435485939039e-06,0.004568492409144198,0.00032596431571642326,0.0012876352468469965,0.00026519379264289267
H5,0.0,0.0,0.0,0.0,0.0,0.10150355918916754,0.0032663440059954585,0.005053468889074431,0.026752253690917382,0.0037810107092586254,0.10786694920298223,0.019915763065835868,0.02247626900673594,0.004180286652398113,0.0024535464075654545,8.850161135520729e-05,0.0004347707640869336,1.1032768402197135e-05,0.0001663657828345766,3.84554261232406e-05,5.4753174506538826e-05,2.351373128384182e-05,1.3858468355554265e-05,1.5180899672895265e-06,1.3905341386677428e-05,3.5809169494083193e-06,6.039076866137805e-06,1.590599760792344e-07,4.856636123928837e-06,8.090414294059656e-08,0.0009184429401183358,3.521474854217832e-05,0.00020209263314185932,6.739008616785114e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1046836445643198,1.945595373385577,3.0571300028928605,0.1087073500777831,0.1923290362846206,0.04428546739770217,0.028229284586888725,0.0008478149788054834,0.003396918493921597,0.0004338879076744018,0.001178503418387239,0.0001743407354000137,0.0001151333207662919,0.00044175886404956843,0.0024772503803605073,0.003759464876059271,0.00011852310909504782,1.8366750006881816e-05,0.00033252478118395157,6.440116571782006e-05,4.699066077804015e-05,9.28545971445871e-07,6.825921782047106e-05,1.0997846279447998e-05,0.00036049392596793073,4.702292806844921e-05,0.00011202718867832362,1.790466214002251e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02492043488471274,0.10455155795142046,0.03268985529373247,0.013817697930181172,0.012138852805962386,0.0024277626577484668,4.349889371302318e-05,0.00021091452383414921,2.5477819090236054e-05,5.1450996349511335e-05,8.802039867861211e-06,6.17564676619331e-06,1.7265223099194316e-05,0.00011066401045833896,0.00021118732263847306,5.823854048681021e-06,5.809413046176104e-07,2.290963367934662e-05,3.3677198194581592e-06,1.3091922601571326e-06,2.523601403403575e-07,5.3580538117437015e-06,8.661081150052041e-07,2.587504161155607e-05,8.416157321056161e-06,4.436743156310818e-06,8.998753819877692e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11375216596097792,0.005663306542745605,0.02992775600676212,0.005157960473845202,0.004228706488290435,0.0001723815748855273,0.0009137417284312832,6.68491728159637e-05,0.00013231999480334267,3.137920108819969e-05,3.065804746205103e-05,0.00010725556232160649,0.0008994234972075077,0.0023580741133346628,2.5110584637166866e-05,3.2310073778685222e-06,9.572430498860918e-05,5.394104375611164e-06,1.2490083433291943e-05,8.525359351807538e-08,1.5443249221203104e-05,2.15914527612604e-06,0.00010153564869241904,3.854901123867549e-06,3.308490960729493e-05,7.610827918336227e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8482799067188975,0.025182685639541902,0.004943586872419373,0.006617013326562685,0.002039697523058104,0.0007453452378681225,8.889995613581281e-05,0.00039281959102334396,2.451364329802974e-05,5.140700305505952e-05,0.0024437575512226972,0.021854033231152772,0.06024524469702386,0.0005671389012969624,8.113504916584802e-05,0.0021755912038049913,0.00023498488268913764,0.00021380835290268907,4.78795977765234e-06,0.0003520616896721118,5.0412346861317126e-05,0.00010335449878287606,1.9934870672741467e-05,2.827211776747912e-05,7.874087899040205e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016996495220289454,0.0005598327472707831,0.0039582905349691,0.0025779305425890353,0.00031454520020013366,0.00012361432697782782,0.00016536606738237758,1.8032587817629064e-05,8.087168782422438e-06,0.000543365109982541,0.004132744399107935,0.0027264630617620522,0.0002442211120902149,2.2015236897932056e-05,0.0009801980761743323,1.2087525663062593e-05,0.0003652585089252147,7.689292891299715e-08,8.537531132379872e-05,4.685177735996859e-06,6.5921925936685e-05,2.7740607424719954e-05,1.890923018721402e-05,1.7876917404180404e-06
