atom_numbers,value
N1,10.533398932613576
H2,1.9339058862416154
H3,1.9233016283091307
C4,9.62962120781592
H5,2.0901663171410725
C6,9.597584286275081
H7,2.116177773925466
O8,10.959085057505089
H9,1.81793491740203
C10,9.720446350886016
H11,2.0888562246592306
H12,2.0647720430772862
H13,2.0906120833878026
C14,9.690115033941964
O15,10.923663006808745
N16,10.345302099393196
H17,1.8898520411683342
C18,9.576304922373696
H19,2.0683469267189962
C20,9.655173858747597
H21,2.0825698434168247
H22,2.0723301387693134
C23,9.82204160350356
O24,10.905890051887727
O25,10.95405872805573
C26,9.7926491088317
O27,11.005706433812882
O28,10.906626271563828
H29,1.8197036154241597
