 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
N1,0.0,1.8910642631116672,1.7886694613720047,2.978085590792301,0.08633677846496113,0.22218549141750277,0.01833229423679783,0.040295734908684946,0.0013725240151453155,0.020401155988102826,0.0008810811846242661,0.0014517181977742322,0.012961860308502882,0.20870615689227498,0.060997264091860674,0.032035566991153716,0.00216465279549638,0.007362613878003396,0.00020682394657067782,0.00020400678333187816,0.0012551367548567782,0.00010356846238226275,0.0003973780037575675,0.0001319176127345667
H2,0.0,0.0,0.028416955879717154,0.1129904198656182,0.013452825519121081,0.02286236546217235,0.00028665441662001356,0.00333074297335223,4.6134476441306305e-05,0.002353425902176687,0.00018518540071466028,3.0464292376519708e-05,0.0006226599114051989,0.005873853493826298,0.002454905416680586,0.0009824563972556932,4.608957204044195e-05,0.00022856515813685085,2.4022871145223945e-05,1.5663675594579374e-05,2.8882910504846038e-05,2.187393637886892e-06,8.22011848866655e-06,2.1392612985504655e-06
H3,0.0,0.0,0.0,0.1054257308343185,0.0258583528389027,0.005833849835888083,0.00020007720316095323,0.0014360972588949306,0.0006410787708612808,0.0021284678541046986,2.3378136100093982e-05,0.00018092234154787334,0.00264559787685692,0.03513866756788431,0.08365750598321053,0.005804246902624821,0.0002749285364522791,0.0006741068470289546,2.5329620900738092e-05,2.5338428060406315e-05,0.00012943142189525414,5.11002413919881e-05,2.4220492652826664e-05,7.780968772408414e-06
C4,0.0,0.0,0.0,0.0,1.9365004115400288,2.6855152538659546,0.09320428478454668,0.20148556411015722,0.010099918618344694,0.15749196281828845,0.008657161172760608,0.03224665424840145,0.006308917700760253,2.619738727427896,0.2783979700854223,0.22031419604847902,0.01149658908853235,0.03733298357313322,0.0018616116334635446,0.0017645590575698922,0.004713607842021017,0.0003912175907218318,0.0013821351264988319,0.0002890291808478329
H5,0.0,0.0,0.0,0.0,0.0,0.09160143331203585,0.0056531446609038305,0.012345550614725975,0.006701054951320007,0.027311161069347056,0.00047814903325704705,0.0014620242925180715,0.0014576020734975437,0.09900232470484793,0.027698247801094422,0.011520777050816777,0.0010765822099390032,0.001255113457411361,0.0004818658952694399,0.00016968069984413248,6.965518983559349e-05,1.3677535992906442e-05,2.2274332956317977e-05,1.7931344742372346e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0021364856755017,2.938291829280984,0.1072982593424413,2.8060459739485286,0.08900397483661138,0.0984858966636386,0.10183337006663029,0.16184326194433368,0.03802335065835273,0.02493066534135907,0.011622853996732574,0.002841027562853232,0.0004675171554460178,0.0008292749123759435,0.0003037702250905383,0.00018092886607373737,9.346599611506634e-05,8.301549240252726e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972374677080926,0.010613882331073743,0.0880336343473197,0.0360904830434039,0.005869159065754026,0.003827113107048641,0.027127509795481952,0.0041735738470340955,0.004378779040019154,0.003895275670626308,0.0006255817488560744,9.506672979475717e-05,9.649714202364379e-05,4.853377406832671e-05,6.746970711690725e-05,1.627071352083842e-05,1.7504336613516358e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8718294864207654,0.1882282603760611,0.007881225579664863,0.00906738909804583,0.029054737673395947,0.012619236553214064,0.004248480241431374,0.06184625941090843,0.1561055271833397,0.006981500395171342,0.0001317720064899497,0.0010264933615923288,0.0007089410203889868,0.0010331671721392488,0.00014157722032558107,9.440095075197164e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032424739543923775,0.0012709456614856673,0.00047572509663673657,0.002933761401199053,0.0006069731520500499,0.0002209665916586001,0.0014844213145278617,0.0023762123477459873,0.0003715031158817439,2.0320421121322596e-05,9.06619410232512e-05,2.2281280326996722e-05,4.224100670335851e-05,1.068978892437844e-05,8.233342034813518e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987872363656825,2.0674979634419652,2.0960692946688377,0.02550407813590705,0.0045716920452318,0.007372227338229884,0.0008277984840476815,0.0007798642727090965,0.0003570677773147013,0.00011480491017079597,4.579311585475865e-05,1.7366503521566018e-05,1.3523844598288537e-05,1.3555405288245836e-06
