atom_numbers,value
N1,10.556599937555252
H2,1.926933590477893
H3,1.939954033506953
C4,9.604593610418318
H5,2.060704864094576
C6,9.622790652219184
H7,2.064114294242665
H8,2.093958523770742
C9,9.514473888730523
C10,9.584187599033807
H11,2.051644602432356
C12,9.469367286535999
N13,10.385954705387137
H14,1.8828945927930545
C15,9.503353539017528
C16,9.536033252531155
H17,2.0864119626911872
C18,9.559538322091363
H19,2.0852591255705555
C20,9.548988325726025
H21,2.0859102865390193
C22,9.53695792887368
H23,2.0839504571505976
C24,9.750681294887631
O25,10.93852081295123
N26,10.408827213041851
H27,1.904813937889363
C28,9.588818586261384
H29,2.027749595651227
C30,9.608401763067256
H31,2.0787365604720462
H32,2.0668214722138263
C33,9.427853160516955
C34,9.498563734861506
H35,2.084957550062314
C36,9.492694342130337
H37,2.0846660164664272
C38,9.499838433887119
H39,2.0809901396444124
C40,9.489549465438158
H41,2.069212042869725
C42,9.504114941499179
H43,2.0822374076803913
C44,9.708716913065569
O45,10.897936337513624
O46,10.88219869086904
H47,1.755561552675768
