 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,C27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,C38,O39,O40,H41
N1,0.0,2.0056871685764452,1.7892618877914173,2.924497639042284,0.08866595072725059,0.20683238289588712,0.02244379272615693,0.006760649498620541,0.03343194153157082,0.008535046344244596,6.775874800968307e-05,0.0033888922999765203,0.002491952367291911,0.00011119838510920133,0.0008929792329772923,0.0005002740317122806,8.550644687221887e-05,0.000188347753885848,2.142697715479258e-05,0.00021366831372417183,2.3163948303928095e-06,0.00014645238770001623,1.0613057643826806e-06,0.23993779750298974,0.059196717183693764,0.032673791573231165,0.006033456224532482,0.00024245373207643084,0.0013169263423621624,0.000273090810433807,8.35903716100983e-06,0.0008056683002067438,1.655636492803314e-05,4.071342285916213e-05,0.004458805447353678,0.0008062772161040455,0.0004364872325957059,0.0010539877429448508,0.00017180209450452094,8.196598433388158e-05,3.6421923038654214e-06
H2,0.0,0.0,0.027093214939523325,0.10686199865185608,0.0070628310101372715,0.03231811331445733,0.0011734151399800385,0.0005580475086544023,0.0043707994693991115,0.0012199476075769322,2.1870704741910885e-05,0.0005294251144770667,0.00033155906194892726,3.367690946332047e-05,0.00014902854839005109,4.70864149849648e-05,1.249627493749017e-05,3.281475920835497e-05,6.6437960648535466e-06,3.86848547119234e-05,6.964026821876246e-08,1.998617243614831e-05,1.3551831767877331e-07,0.008066192595440502,0.002196814949583792,0.0004619453905883031,0.0001009670555779385,3.836842539017837e-06,1.5067899241549831e-05,6.027410620390583e-06,9.074067668368713e-07,3.081082819744729e-05,1.1246091218275467e-06,2.1677352746163336e-06,0.00010996641527782902,1.9821445142564897e-05,6.163484073562486e-06,3.5878999370297926e-05,2.864579458861094e-05,4.017945323009364e-06,7.87050173034487e-07
H3,0.0,0.0,0.0,0.10678368598207266,0.035298065707884074,0.008676389046887056,0.00027142088336140624,0.0046860612396690815,0.0008759992406207617,9.270001312433607e-05,5.967472068268975e-06,0.00032645153070998134,1.949721526151027e-05,1.8662617979892104e-06,8.986227575880079e-05,7.26369418858619e-05,2.0312658754351176e-05,2.0508555701570508e-05,3.2984434112925953e-06,1.6547974874270288e-05,1.625209429256813e-07,1.9357022871036023e-05,2.6937179953279156e-07,0.020745690138243122,0.05097258556928286,0.003274814465937692,0.00038704470878270225,4.682744343131873e-05,6.622545800349933e-05,1.2977999588326128e-06,1.811655047534444e-06,0.00032070483087953683,7.629957443633373e-07,7.4866049311062e-06,0.00152055956077346,0.0003483000203376996,7.038601827380475e-05,0.00011339645894459238,7.053479734231427e-05,1.2607104233897104e-05,1.8312100813488996e-07
C4,0.0,0.0,0.0,0.0,1.9081838048020232,2.7104584291615206,0.09022117015649123,0.08268403249147438,0.17939706708440323,0.05156229901524184,0.00019552316872140096,0.01943850781856052,0.013209875389205927,0.00018283411103381386,0.004512039136324253,0.0023874200785699295,0.0005194126574368241,0.0007653538822064154,4.408627318319702e-05,0.0015488534432809564,3.1657502721493813e-06,0.0009994555690892581,5.739197731280399e-06,2.601072295908373,0.27063942722055984,0.20288929040887332,0.034807956854391475,0.0019329401852310468,0.00493619108219287,0.0013395390218904346,4.693135217892497e-05,0.005175467461794453,0.0001197358677949012,0.0003059932286668676,0.02967282490734499,0.0067866954527058265,0.002441818054391698,0.005767711025859934,0.0013029736170623307,0.0009811112755066936,6.137284693930045e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07702006171807074,0.0038621217926311235,0.03316716386490626,0.008275718358659478,0.0008025223407148729,7.228722141650046e-05,0.0021457948692198414,0.00039748824012586503,5.584755171206268e-06,0.00018304815709901945,0.0015300099270627587,0.00043748934804499484,0.00016398904353898125,4.291919793786292e-06,0.00011148559516049872,3.1161249491873377e-07,0.0001629394437545617,6.4121895813062935e-06,0.08830214549225857,0.021130667452770147,0.006525400662138248,0.0012173461671900476,5.097984374535791e-05,0.0006994077585062985,9.167061688541978e-05,4.041632770013237e-06,0.0019833996467382153,0.00018957336531921776,6.010464769445889e-05,0.020171649877276376,0.006238507677632565,0.0033717720829824493,0.00020729760268967112,1.9046515734921776e-05,3.470445771802666e-05,4.819128889499424e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0068914746348665,1.8657846068273896,2.6866402790607773,0.25972945380751544,0.00616964789262564,0.19391924033928865,0.04942657117777567,0.0025665869890251214,0.03442825028768173,0.01550104109706614,0.0035655638391085542,0.0053385306796860515,0.0010982949725684144,0.003999116481773382,0.0001618438672823519,0.002476780072474913,7.063138404661551e-05,0.18227701473976463,0.03855419382244607,0.02500892097202974,0.0035923862303979814,0.00047827664012489723,0.00044786466594719243,8.12479088188045e-05,4.777940884492793e-06,0.0003697806699965722,2.8369707834707825e-05,7.120064673249438e-05,0.003076759953135194,0.0006684435844733772,0.0005489332038117745,0.0011057080515070317,0.0004563077246666214,0.00017997788428937567,3.5047982195779426e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024200441741375034,0.10764582775881149,0.03214106554504714,0.00021731132650804064,0.011478926820156499,0.0054871734628603175,0.0006426609657028681,0.001673306005744557,0.004128754306841453,0.003909575948106259,0.0004600306973793211,4.9856261924219325e-05,0.000892551106645656,4.638591847361262e-05,0.0006887888037492296,2.8884692479858032e-05,0.029430909926924098,0.005178575003668362,0.0035994505083674078,0.0007447318418101201,5.096599389053935e-05,9.08417066274314e-05,2.8612025310348344e-05,1.270119094565203e-06,2.9394184757114417e-05,2.562674754180705e-06,6.082911059968055e-06,0.00018901363225443113,2.239342742793582e-05,8.465795551293454e-05,0.0001966804681177159,0.0001015368370825831,2.908922272382153e-05,2.802652248945492e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10073111578180072,0.016340488670375963,0.0020119358596590864,0.022804761227253945,0.0024236647906952236,8.500780074371939e-05,0.003096842058490701,0.0013269785389167232,0.0001867921063058997,0.0006786320864482498,0.00010239833430070178,0.0005278105860182514,1.8525868623164854e-05,0.00021968782129122566,4.681719580457155e-06,0.01486846067552694,0.012760920097081296,0.0018123834994565602,0.00019018395184500214,7.142114397451493e-06,3.438358903307126e-05,3.0904288748079267e-06,4.026421984715256e-07,0.00019750628210202237,2.875854290262936e-06,6.9597912644159265e-06,0.0008675349240869767,0.00020665905409722463,0.00017004773382378602,4.815135039049068e-05,3.627283303730966e-05,1.5723280100465864e-05,2.2818171525607056e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191772174634396,0.11995992191033134,3.133374600466466,0.48598029321319375,0.025593812736723787,0.3449301807168372,0.226758801182363,0.008080326448637098,0.04000472885881323,0.003774806898138694,0.07076113286841462,0.0028867134763241875,0.0273061055032586,0.00035455094952241417,0.016522622829088618,0.003858333710918524,0.004134140975327827,0.0004286212832620151,0.00010138236741263906,0.00029306781219906597,5.621350643592038e-05,1.6023537042553215e-05,0.0006987570340958038,7.64075377099882e-05,2.845308960996995e-05,0.009890504763965052,0.01536840788151661,0.00031944229756941667,0.0008923534626310015,0.0030522413183271535,0.0003345502137008516,5.601196803806108e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8133959628099767,0.3964678587286622,3.349948275223016,0.1104862582613868,0.4520259941450696,0.11185503526468701,0.0008137249804185398,0.07586111464570987,0.0006826291252672867,0.03140486284852986,0.0009439702794347138,0.07911873435639726,0.0008898191622506157,0.008701776663781913,0.0012173430514218625,0.004242999096334521,0.0005134757397906309,0.00014579010024329264,0.00025594566505965366,6.442307802512204e-05,2.5351550981600468e-05,0.00044727137773280246,0.0006261244151672951,6.5865481237992185e-06,0.005973432270275386,0.003552491551312542,0.0005349278608675068,0.0045955259288383565,0.021767187437816388,0.0015044702469407117,5.699906417422351e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030142093435099326,0.10029108567929379,0.005025197016592431,0.02745604327978901,0.0029515119952765456,6.650191812962447e-05,0.002693685942435131,4.6222743752988293e-05,0.0009571644350127029,0.00011055142890037395,0.000910547111665494,0.0001057779691455707,0.0012235838753933415,0.0009109201722108384,0.0003237757063165869,0.0002273425924768091,2.6262744646787795e-05,7.212612293372445e-05,1.8752011072820096e-06,3.488442882781939e-06,8.702573976115957e-06,9.521756293429107e-06,3.040388654174109e-07,5.556218162050541e-05,0.00011184590288570995,2.3013192800291904e-06,0.004452227349782234,0.02829198614782924,0.0013098702576948007,3.7403474347996735e-05
