atom_numbers,value
N1,10.550573561300375
H2,1.9375204328604236
H3,1.9264901999498603
C4,9.621975111625824
H5,2.08432774402909
C6,9.615354077107629
H7,2.068068244421874
H8,2.070184078797712
C9,9.512975632329889
C10,9.565540405967834
H11,2.0571367868132526
C12,9.456872645535672
N13,10.356734293929588
H14,1.88077134251827
C15,9.484918489524647
C16,9.511664630256542
H17,2.0811546906860503
C18,9.536660232375944
H19,2.084884846080657
C20,9.5378012038341
H21,2.0848783643454265
C22,9.520982599529525
H23,2.083493199742114
C24,9.707687923642375
O25,10.932362079397642
N26,10.31712936669817
C27,9.572397787769646
H28,2.050015020215076
C29,9.613768713938006
H30,2.0724500615161467
H31,2.076144116006195
C32,9.630052398914621
H33,2.0676496058917766
H34,2.0778838224501066
C35,9.633167824895805
H36,2.0575495511366615
H37,2.0967555820543367
C38,9.74770106809006
O39,10.890750476843632
O40,10.87479676802999
H41,1.76277484024875
