 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,O31,O32,C33,O34,O35,H36
N1,0.0,1.7788146096069393,1.903425874672769,2.9666809322302345,0.0834557852611909,0.18431709095414373,0.020136162739542662,0.0231378918844376,0.013368103765263623,0.002749219850734466,0.00012313796429619384,0.017086736370087244,0.016816948728569203,0.0013437919402143061,1.8643489983816153e-05,0.0023573682872852914,4.7594299828590536e-05,0.0008905809812496668,0.00021453339925579795,6.164579626544153e-06,0.2071224723932395,0.055869350697744305,0.03374572893686788,0.002684844715460155,0.007480103761434265,0.0002825685255456456,0.0011099635240334471,0.00029590980195770555,2.3546967147680675e-05,0.00011974876478021423,5.119529602398698e-05,0.00043567961479432094,0.0005523730714042108,0.00020514105203067734,9.065515944646496e-05,2.2557419395607958e-05
H2,0.0,0.0,0.02702129652054852,0.10584181232617162,0.009648940237509063,0.03191320989764801,0.002273693122612608,0.001753072611552664,0.0012512239676036874,0.0004765861953285322,2.178714597622644e-05,0.0005654115561456452,0.0001484969121348101,0.00011095908881242345,9.077379878652536e-06,8.916155883365029e-05,1.6968117115823134e-06,0.00013057421844908657,2.9320550706479764e-05,6.032139028278038e-07,0.005775417673589356,0.0038229786991114123,0.0005167862706282333,3.650685667455633e-05,0.00019303536310333325,8.071719035385172e-07,1.4780757310761672e-05,3.883196395326749e-06,4.202813992382204e-07,8.799329184294713e-06,6.982275823297357e-06,2.915994327667981e-05,3.409655948505286e-05,3.268742837703176e-05,8.235099891451547e-06,9.992592757690488e-07
H3,0.0,0.0,0.0,0.10440768556693647,0.033025721089115834,0.006790374594697002,0.0043716061812109075,7.921296748381046e-05,0.0009103956279803427,0.00028707046043963125,1.890115975222706e-05,0.0002821059700043316,0.0001879489842073756,0.00018530117077752983,8.215347309770138e-06,0.00011084583751885813,6.629364026622397e-07,1.749936525730078e-05,1.8908572279041636e-06,4.801676216636963e-07,0.029240738830464186,0.07892690664931401,0.004793635978931343,0.0006751423396216261,0.0005166497928695835,2.2535021122482846e-05,9.863778959429137e-05,1.7525388411598897e-05,2.402379043475733e-06,3.3618122708412024e-05,1.8877471049449923e-05,0.00011045239569518195,6.382382510350393e-05,2.7773970315947416e-05,4.9581287470124025e-06,5.120255937018925e-07
C4,0.0,0.0,0.0,0.0,2.1061551285322304,2.630650425090027,0.07887566624573594,0.08095015698524621,0.17473993739712138,0.03442474437468809,0.0005200123336237539,0.037482694408463135,0.001446943435738035,0.004250923185923655,0.00018873318270506978,0.0042776449330472754,0.00011138340683380932,0.011600745997070977,0.00263105348041974,2.4107307784793086e-05,2.5440514776794276,0.2764020426952618,0.23951298851702263,0.013363321688473206,0.03838190807080816,0.0017651862689285203,0.0038528793359048075,0.0014498900123205427,9.610309349361579e-05,0.0005462038536488689,0.00016990032956720746,0.0017249257943596774,0.004609787986437491,0.0018672931557174172,0.0007868328387876655,0.00010935444389015281
H5,0.0,0.0,0.0,0.0,0.0,0.07387965039453626,0.028105372523937522,0.0015218236358547355,0.021648464001974732,0.004115600432372912,0.00020846496343218668,0.0023226398554963,0.00017628077918718787,0.0003909454447770244,7.919108856380142e-05,0.0004930654030204096,2.841179464629917e-05,0.0007020858867980984,0.00016053469700028078,6.100084707583164e-06,0.0960331724683543,0.02611186704984836,0.012213531401317645,0.0034916305517276314,0.0017969059053783987,5.233823788852732e-05,5.354064594276231e-05,7.03657539724567e-06,7.702253092212175e-06,6.475110699621922e-05,6.983345360922488e-05,0.00026632921914460095,0.0007063666600859442,5.925730898681536e-05,0.00012911306320306792,3.180263324442656e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.856802218247635,2.0466726851895753,2.4555823863081434,0.2381381411035556,0.014534964156909469,0.234362062860442,0.01313891567333747,0.03468820606132868,0.0024423006581557605,0.0364788128136892,0.0023624134484083736,0.018950562471944404,0.004572540364157288,0.0003675607629067823,0.18326507433383626,0.03488397789081528,0.03791194071572676,0.0068154666215412,0.0036405277668187797,0.00110669688607401,0.00030452942255410065,5.214446017376417e-05,3.248701022795508e-05,0.0012518141647784031,0.0008819485059121945,0.006135807288706871,0.002753346908657306,0.008337022902601243,0.0009387792274544171,0.0001414306991585068
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02744083812121234,0.09073833951251209,0.02662611075022303,0.0006857629847885072,0.015721925959009786,0.003777861573476704,0.0029493733512053755,0.0005724945158711581,0.0016036384658830727,3.8491342142954466e-05,0.003513376265759316,0.0007784312287730799,1.3978189241203864e-05,0.0038268664176210887,0.00047934363712098804,0.001287442690815821,0.00020930308089606164,0.00022653574052311498,7.433603273399036e-05,8.045808852275016e-06,1.7803088878665108e-06,1.755894105892608e-06,5.7968763707449966e-05,4.3507181671009754e-05,0.00020479416399332706,7.592880623108478e-05,0.00018752639387975556,1.9815918257060083e-05,7.564225545930725e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10491631130271184,0.018822548346362877,0.00646470815941802,0.02337596866502878,0.0007466638978692597,0.0016547804274827937,7.200271739926656e-05,0.0026809844727522236,0.0006675105424400751,0.0015679604831804195,0.0003146512650819,7.679875788779711e-05,0.021389205658004284,0.0041791192093686425,0.013825589991537823,0.007097368009770566,0.0011707029871899088,0.0007137736213447265,0.00015419732016153098,2.5924219799300374e-05,8.731160762387447e-06,0.002372252477610637,0.0018189017195102686,0.014879651683763484,0.0033786914128282053,0.019543818157878534,0.0014147791046049685,9.90044007540547e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.734617653427307,0.1272662910500333,3.847687597205973,0.12598071714901038,0.3209764907190268,0.026458001592293945,0.32729951776117333,0.02578847124715744,0.26729956801451377,0.05005469957011384,0.0016725859782295016,0.024518090723213315,0.007164348936984866,0.003883926700520013,0.000808444313002199,0.0005685586399793996,0.00010979102712083133,0.0001925500564531335,3.6270868832843917e-05,7.101426845901315e-06,0.00048436508343785434,0.00016000869073737323,0.0028266039324928577,0.0004310432373009765,0.0009196870188497713,0.00015135126425372403,2.8209733130002412e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0439706634656756,0.34725434112941705,0.028807041756698792,3.503643914312558,0.12473522203508614,0.3016946026862617,0.0039961242983441725,0.34809069572154006,0.0397245786599502,0.003806166357795293,0.004163264595233973,0.0017689771861199993,0.0007114745047654691,0.0006812818177910351,0.00016136000344380008,4.6536638052985246e-05,0.0013224199955801097,0.0001297842734437893,8.683303833079137e-06,0.0035132791967359966,0.0008724376653228005,0.02166935172708441,7.804722047533019e-05,0.00014360607898941669,2.186469865299301e-05,3.033249909467628e-06
