atom_numbers,value
N1,10.561101299071126
H2,1.9228276101063304
H3,1.93590051620217
C4,9.622346760229354
H5,2.064131197384088
C6,9.622487962790196
H7,2.0515946412466617
H8,2.082144557364532
C9,9.48936900222764
C10,9.503951820496916
H11,2.074305404838841
C12,9.527121487924097
H13,2.0657279785309592
C14,9.528122017723804
H15,2.0635000968467585
C16,9.56134981788932
H17,2.0799539347617193
C18,9.534264213408669
O19,10.9557583368712
H20,1.7665542645109005
C21,9.73741728619706
O22,10.940524551720802
N23,10.391386125700206
H24,1.8752907425369973
C25,9.597129243473985
H26,2.0350007371394776
C27,9.616364263829752
H28,2.0798949854196076
H29,2.0571717520744404
C30,9.631275177439178
H31,2.078768600094661
H32,2.053240922428989
C33,9.761076788665054
O34,10.95799017165924
N35,10.455806100870753
H36,1.895307785710691
H37,1.8952851279212197
C38,9.738600281009353
O39,10.912633618477432
O40,10.919747782132879
H41,1.7541034246469116
