atom_numbers,value
N1,10.542514720857685
H2,1.9392054118402835
H3,1.931334216455946
C4,9.620785140665863
H5,2.089253880872338
C6,9.610903752201063
H7,2.074850818152659
H8,2.074236758848814
C9,9.481374146349603
C10,9.50876773804614
H11,2.047897419494959
C12,9.51442032452143
H13,2.08778485093029
C14,9.520476972972581
H15,2.062557105017617
C16,9.585121481385464
H17,2.097081352897996
C18,9.531810173433017
O19,10.889549603104347
H20,1.7779834508946561
C21,9.700768524637969
O22,10.933967596144903
N23,10.348991448196454
H24,1.8823535993090574
C25,9.596827991901298
H26,2.0613222945350484
C27,9.640924964883485
H28,2.0590688211836605
H29,2.0974322179004776
C30,9.687125952549598
H31,2.1099677969690114
H32,2.1058368177793505
C33,10.015757129693542
O34,11.001494998653428
O35,10.997572810672176
C36,9.743392422826178
O37,10.936712051480798
O38,10.92112706803774
H39,1.777023575656684
