 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,N31,C32,H33,C34,H35,N36,H37,C38,O39,O40,H41
N1,0.0,1.923280720538268,1.986533332449889,2.9526918530275643,0.08914448289857257,0.1960448605829201,0.020220232322138654,0.0067179207676448804,0.03340729353030163,0.006446071789946911,0.00017739926942017537,0.005057786458904617,0.0006258660157862916,0.0014500623150335984,0.00012378548632430153,0.000787005586071407,4.423456388302771e-05,0.0013553252929040388,0.0003538646285283359,1.5598799729010793e-05,0.26160964778694284,0.06297522714907224,0.03807008211535358,0.001358291146752344,0.004949856490446658,0.0004977468175804134,0.000627096020819895,8.365086332462468e-05,7.12219151141058e-05,4.4337705740360445e-05,6.560652755698004e-05,1.4060846235702806e-05,4.6329885938778403e-07,1.7776092799515197e-05,5.656991558522506e-07,8.030599573272124e-06,3.357565436790111e-07,0.002869618794210882,0.0054159833064128735,0.0008909505674690801,0.0002356196085434581
H2,0.0,0.0,0.026619274771915613,0.0999894518347395,0.034593569044133465,0.007720736649410087,0.0002299242760557263,0.003711437962570452,0.0006944430959806569,9.005550643215177e-05,3.932982137078156e-06,0.0006827454209796802,0.00017473013612190336,3.826870075462896e-05,2.8889860803626988e-06,0.00014830607272320329,1.519080420031571e-05,1.5805681656266835e-05,2.8367221416303323e-06,4.64724275728301e-07,0.014356094684944032,0.0009468331841534505,0.00887924339287316,0.0006702015076174295,0.0010268669659787566,0.0001838859726916997,0.00029224055388088477,2.8750275736788566e-05,8.367188985225482e-06,1.8249732431141474e-05,3.375074215117291e-05,5.856956381333767e-06,1.9925453176306007e-07,4.312793145055949e-06,1.6905196398298017e-07,1.0102989341786994e-06,1.5669774566795525e-07,0.0035232669078040235,0.02083317989051925,0.001615437521909513,0.00010873997167992755
H3,0.0,0.0,0.0,0.10610289584904375,0.007473868502270831,0.031882004961022226,0.0009624718377196917,0.0005189241957066493,0.004299326559318417,0.0009849810665578662,4.79400483104353e-05,0.0006658567421872208,3.883550737615593e-05,0.00018605810503879994,3.510249710725333e-05,0.00011281808672825022,1.95614829689994e-05,0.00020674263530373604,4.874308039815034e-05,4.769500621337741e-06,0.012534194172894253,0.013907305518118362,0.0014765164689908294,2.326874100910814e-05,0.00010899667053354545,2.0731929173845032e-05,1.1685010247841632e-05,8.303152285726867e-07,1.5947982161534924e-06,4.555418308238579e-06,2.6060152503726286e-06,1.3224671276956812e-06,5.2260131777615015e-09,7.040695846338707e-07,2.4606922943704035e-08,1.1246866594705196e-06,6.128473972744075e-08,0.00012717560830433072,0.0003787118423389524,4.200702263901235e-05,1.1768448919813324e-06
C4,0.0,0.0,0.0,0.0,1.9171941831027683,2.7864488874438877,0.09898208291213995,0.08332374070034754,0.17080573439977362,0.034610322286829975,0.0006389639938013669,0.03490139275652496,0.002789839612477918,0.005408269388919473,0.00024706977102950667,0.0042521780948048815,0.00010344320899347004,0.010518683611567603,0.0025626105372015817,3.6087253835526134e-05,2.715162275214998,0.2887601457483375,0.217383634713307,0.00931385716330746,0.035357265106901625,0.004161245773364186,0.004708943121832926,0.0013871122212369968,0.00014017116654452266,0.00039153647394299385,0.0006014330632471698,7.848230325105399e-05,6.833136592554467e-06,9.123218431458802e-05,5.361994613872767e-06,3.8355293069697316e-05,3.370980872441365e-06,0.0022975038614934384,0.0011183281781954602,0.0005305408692098529,0.00011565199393637204
H5,0.0,0.0,0.0,0.0,0.0,0.0861740156119215,0.005188548606268606,0.03468062291770346,0.00844468733194037,0.0008850264081743386,0.00010595463457652166,0.006929138423166448,0.0042578557400339,0.0005637171506034377,1.8644631572639625e-05,0.0007745788223139094,2.2576243917438177e-05,0.00036038344766708974,6.189308815351957e-05,1.472927781098754e-05,0.10564289695486728,0.01770918899283047,0.02179819677492023,0.001981261838576387,0.0029916539225873784,0.00013169019956049688,0.0009689817687736912,0.00016773278283088722,2.366360624583841e-05,6.931016433142645e-05,0.00018825381244746975,1.8021570545867505e-05,2.4763976760322493e-06,1.5481426289376543e-05,1.2227752688165339e-06,1.1888102644408427e-05,1.8228954881127635e-06,0.0002491425602710873,0.00016802458161102596,1.648648019136889e-05,3.3250801458883927e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9828424026968103,1.9361703696567536,2.7866346823976293,0.24426735205967037,0.013975149064969106,0.2331280914884873,0.013063567661041109,0.03565457433753763,0.0023031624555418517,0.036581072448220814,0.002433805070284123,0.020890171368920324,0.005142405096451072,0.0002919717270243316,0.15300987187921475,0.03541511733937161,0.025832149518588893,0.023986518483881225,0.004159476153910685,0.0009109223293738422,0.00038946145393284337,5.195897874510358e-05,3.021853395868135e-05,0.0005275538422298554,0.0030942762263354295,0.0001977235742079697,2.3233115056253695e-05,0.00033244884456837265,2.8305852782573027e-05,0.0001057519513268379,1.7019037978460716e-05,0.00044882047220001775,0.00010312009641504083,0.00011575428958167377,2.8562636378959283e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02448746272159341,0.09529967747094181,0.029767835216237604,0.00041769659070989285,0.01718772742297725,0.0024589715057565797,0.0029568193901936546,0.0004067291370364323,0.001888250105555267,3.5791143602414976e-05,0.005872200321588528,0.0014125519400968178,4.43389316260312e-05,0.02995033987942608,0.004553899151071628,0.0037728979574239707,0.0009763574951568987,0.0003724653005374723,0.00026959180404317884,9.887218778603657e-05,2.078948518713375e-05,1.496871362682839e-05,2.722157381063184e-05,7.11008870533103e-05,4.5377546373792654e-06,6.761194473181575e-07,9.917456401220548e-06,1.614248587911149e-06,2.014891177903877e-06,1.6513188660916e-07,7.741603053568191e-05,9.263009145388246e-06,1.7230490994002423e-05,6.292969956467331e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09593280481474142,0.01697915862024324,0.006685704327151321,0.023235626961280342,0.0008452077782665768,0.0013928561390619265,6.344435753513622e-05,0.0027942747440654614,0.0007674076357848669,0.0007521580744023204,0.0001580493422044249,1.2921179126434978e-05,0.007740435454781869,0.0006397823780242007,0.008561069028045765,0.023788372555696213,0.001188866466896421,0.00032236655031314676,0.00013763158075241755,3.545678197758306e-05,1.0941810413722663e-05,0.00044820715036086867,0.004565995139681256,0.00028028010668568193,3.601709385736562e-05,0.000547354834494751,2.7524333073403184e-05,0.00015513679624312715,7.399123985951661e-06,3.075682952946579e-05,3.277989171657225e-05,1.870982317597747e-05,3.081644363245317e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748430827998869,0.12500095067501182,3.7328179370865553,0.1255129605251355,0.3246196136479389,0.025601929792071765,0.3288295420535131,0.026507326164793232,0.2700734283141537,0.05414509645763976,0.0014396414232181742,0.012167285531553745,0.0022301732304371436,0.005784262827071368,0.0019913575181633725,0.0005462761922322978,4.847046718314818e-05,9.559703291675548e-05,8.968105817075411e-06,5.837207221670582e-05,0.00019349036527460672,0.001417238483288119,7.653535108978482e-05,7.985490763307013e-06,0.0002186346687490237,1.2965640427964331e-05,7.053493058620242e-05,1.0661413555990151e-05,0.0002975112088356435,5.119431797054319e-05,4.693019631143991e-05,1.2579086338115886e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015732528500103,0.3329930581213544,0.0286479120758103,3.7172341998647718,0.12673936543003128,0.30415914045873915,0.003979705363070574,0.34419885569078623,0.04396500882936169,0.0028925176563209254,0.0034881767331072233,0.0011948970030047357,0.009526248970119555,0.003986849860438291,0.0007239076820062251,1.2700140144095151e-05,0.0003024811296732377,9.30162941381596e-06,0.00045061764817000416,0.0010064731292735996,0.009944549150786408,0.00046747308332728554,5.498982243690165e-05,0.0013269412590869722,5.619247863442034e-05,0.0004865815461984613,7.642136041841052e-05,0.0004343036042820936,3.886855063012229e-05,7.384728205066249e-05,2.3473057733092162e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02844275796378981,0.0016773293113780952,0.1328111391759632,0.008534741003946689,0.0035104965640873065,0.00039825622390243787,0.025917219144370396,0.003200187344374439,0.0002015608888183973,0.00038617493373371836,0.0004125322381582919,0.0037947481230775626,0.005923991318565802,0.00031713670596467125,1.7004433778833317e-05,0.0003242607282347709,6.006088901111539e-06,0.00029816288609429975,0.002351846480750819,0.03177493161679501,0.001374480350812446,8.757805764147975e-05,0.0031608473583617513,7.249920218321826e-05,0.0012955689344482657,9.164989751009323e-05,0.0001958585772781074,1.80434822668607e-05,3.41365487011025e-05,1.0054962096939235e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9310267432891512,0.30006973062383,0.00404502697719189,3.8002827024750383,0.13142520654875867,0.34148343477033777,0.04163583606032127,0.003957308914685598,0.0020689490181454995,0.00037159015843203635,0.0017221764181819532,0.0005271410144737088,0.00020433688540086314,1.5675413271742933e-05,4.9270687863617324e-05,4.216151036295912e-06,3.755388660686698e-05,5.036886702555754e-05,0.00037412721073851185,1.8351482051204293e-05,3.0358730755963848e-06,5.043381241470746e-05,5.124400028977405e-06,1.581335353265101e-05,4.112832776903552e-06,9.463520056995911e-05,1.5950339519760215e-05,1.6655053283992638e-05,4.3830110508791265e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003574854931064353,0.00042007486129280736,0.13285493509562984,0.00863983016265335,0.026447877270261655,0.003164214945972743,0.001313005064723205,0.0001841216912079613,2.8826222325251116e-05,0.0001168759942613562,2.980559325616028e-05,2.912768277174571e-05,7.204692982210048e-07,6.7610344594015714e-06,1.847187298231745e-06,1.7552561155653734e-06,4.8521381388333396e-06,3.13591641989408e-05,1.6892762411124806e-06,2.4591396563522494e-07,6.86500735547213e-06,3.7785452877692194e-07,1.9585478483463703e-06,4.055916975609364e-07,1.4563632988462416e-06,1.395271410631338e-06,3.6030629180228146e-07,5.7438609646354166e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924261562385392,0.32412981833125354,0.028252020914516285,3.758694906590232,0.3154334693037628,0.03124922243715411,0.0004887774180757365,0.0002652833009507416,0.001374248119423993,0.00042258355830804284,0.00015082723631007489,2.0652522020325748e-06,7.974171387459261e-05,1.143905671296963e-06,0.00012581304823844341,0.0001547375191782996,0.0011675195257940807,5.905370250705588e-05,6.3687209468366035e-06,0.00018471442255907355,7.647675273503296e-06,6.52098960922387e-05,9.419500990093255e-06,8.722266928840039e-05,9.00095502673337e-06,1.786642520625048e-05,4.599612595801439e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027752260377381432,0.0019393940933543075,0.13027006727867252,0.01306188544475706,0.017526648193279648,1.850178870244079e-05,6.060170789412567e-06,1.2631797820628066e-05,8.2953861322288e-06,1.5861026025909553e-06,2.4232271456092747e-07,3.0126036743016726e-06,3.007155173762044e-07,2.8390602022643208e-06,9.175476402223381e-06,7.03847903984478e-05,3.4691053103497183e-06,5.782217917804644e-07,1.1111503741112472e-05,8.999990359637167e-07,3.7553628191577815e-06,9.084958083604988e-07,4.5806328530240137e-07,1.3496697570669625e-07,1.0714168685588277e-07,5.404000980036017e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032559885664612,3.6291683046043257,0.296920503311446,0.03440656239612172,0.0005263214272209216,8.482075176045878e-05,0.0009829108215202997,0.0003950945170283493,0.0001305750947911133,3.1873813016725094e-06,3.980082558568965e-05,4.418590349164475e-07,3.980958290616954e-05,8.994964929065485e-06,5.131765633149821e-05,4.891763837389096e-06,2.6013198084484657e-07,1.1845708923458043e-05,6.218217132314408e-07,3.373246562854426e-06,5.318786278074583e-07,7.260558360028257e-05,8.718687410716464e-06,1.3573492334079118e-05,2.949348633318749e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13433232973143583,0.012363118251699112,0.0012615938142395144,5.255687449023938e-06,2.0088651380145706e-06,7.490288812306289e-06,1.980480761254455e-05,1.1911054857982606e-06,3.34943478508265e-07,2.0132803690842138e-07,7.228180720630917e-09,2.199560866777972e-08,1.1653581815096459e-06,8.577119165797953e-06,5.101791276107548e-07,9.51153242834124e-08,1.056310616975864e-06,2.179990274964183e-07,3.2508554648202903e-07,1.329964967045072e-07,3.316979864109726e-07,1.0303802500111203e-07,5.8736905006462337e-08,7.287251913012938e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2222155533448626,0.13842387605604944,0.0006633468174844781,0.00018935987033064094,0.00047186585003272663,0.00024112210525895073,7.475640841139719e-05,3.5215842738578473e-06,1.6040342298573318e-05,3.831902908313367e-07,6.546739341528607e-06,3.3764166353644764e-05,0.00025096602817911706,1.1988282995839539e-05,1.8929768581532613e-06,3.903061562388066e-05,2.3305130611994684e-06,1.3136412886638471e-05,2.910638965847312e-06,4.0336330576457025e-05,5.265530526307738e-06,8.151037661899285e-06,1.7495952768786793e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6520028198101548,0.00016823753435624145,4.406453801415744e-05,9.621276426920178e-05,6.053228299551794e-05,1.7598738939167413e-05,8.434115009725573e-07,3.8135400125399732e-06,1.3994665448713306e-07,1.7383514996360816e-06,7.614904661945587e-06,5.693490577350635e-05,2.6204089397102726e-06,4.666039072898087e-07,8.622986766917973e-06,6.160604268945491e-07,2.875956818887415e-06,7.058805172599492e-07,8.953086242102781e-06,1.378042811119029e-06,1.90492056699465e-06,3.7467115154843356e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7159543513889375e-06,1.5185373347659237e-07,1.370724284965874e-06,7.975441072005651e-07,3.0386505200930003e-07,1.6094288124435252e-09,1.0772583214357923e-07,1.3128499842807173e-08,2.531824772056268e-08,4.0390575462012634e-07,3.4393152211764644e-06,1.861025242799741e-07,2.420019273863261e-08,4.888071623021517e-07,2.7299343008380106e-08,1.7057765366867983e-07,3.3325756154667374e-08,6.037808475412021e-08,1.4128457737072608e-08,1.3244930041622638e-08,3.3214322403551932e-09
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0777300877252785,3.2658859707237795,0.13012296206113005,0.26969869884044917,0.02140641992288872,0.032753003612890935,0.0036670633325721624,0.0010395974112649142,0.002482704072057834,0.0063294106903452885,0.0007091480439927467,2.158708888067018e-05,0.0012627909621357458,1.1522902838789761e-05,0.0005942370700160737,5.258971197896756e-05,0.04051178661194707,0.011850734835949048,0.0073862379771963416,0.001192735400742606
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5364320884551319,0.02254778092594878,0.07740520138142493,0.04341085852356341,0.008498465148219253,0.0010509309809590972,0.0006008618675926725,0.0025547166707496627,0.002916477817013957,0.0005328720003237586,1.4062788725288655e-05,0.0006209691269864342,1.330603734395197e-05,0.00045220215310581846,5.9089319860650136e-05,0.015519837707946599,0.0030983963587249558,0.002696000165525278,0.0007370710188272511
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8615935582422511,2.9155220910899335,0.10157228520175465,0.17779428799048413,0.02428617709643377,0.010486968176615541,0.016583867036144506,0.049722159244014186,0.003604752116254467,0.00017182200742227316,0.007826881944905606,0.00011225480289378531,0.0036702162560517254,0.0003491926003608148,0.20013566227953938,0.033165844418379706,0.02949410602821359,0.005158352254458043
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204819652571417,0.026057463591920405,0.009872938509401408,0.0006656733384278191,0.0008051876485883902,0.015804894859656637,0.14015666324083653,0.0030496581096604025,2.912345583960807e-05,0.01183050350819237,9.42060813087231e-05,0.0051992506129042715,0.0003837956085819272,0.004919443130724788,0.0032929243947893427,0.0008697938472338462,0.00019537409594905242
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9183065309678864,2.559867662258215,0.09124252948715372,0.09377541293762759,0.17252994285976378,0.02015622867892275,0.04568845684153855,0.0002751767555204676,0.005934595150471289,0.00015617417194535577,0.009814595562410433,0.0004753301022001333,2.5877668180059707,0.26800509264651384,0.21125050178185711,0.05479918200155065
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09177566201567722,0.005187014931579359,0.005194283565889801,0.024051430415505837,0.0027239263762455224,0.0036423880702183276,1.2921145489785957e-05,0.0007058681515643705,9.15966798120671e-06,0.0010419445057705534,4.778264798077636e-05,0.11148400855267382,0.030453003874472584,0.010526054976129018,0.0003368314383274118
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060906886892096,1.9014130922084918,2.819891753122994,0.1884945291290894,0.2507764865771535,0.004267908052438152,0.048347101760781525,0.002346216607371998,0.044936349998892636,0.002362087129895052,0.18431089726410768,0.042111714324274935,0.029324182941731766,0.0022116906401391523
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026292975409707653,0.11140516472207884,0.022829019551448226,0.011492572989088012,0.001908978867552369,0.003413426051540158,0.0008849526347025627,0.00147416434829295,0.00014779574280865404,0.006721173932856095,0.0011674538076114072,0.012775894502148777,0.00033352012052745295
