atom_numbers,value
N1,10.54763601520121
H2,1.9286885292846572
H3,1.929219450632287
C4,9.62990106576751
H5,2.0760282388589686
C6,9.613644877271863
H7,2.056975625020736
H8,2.0741827152095462
C9,9.48835396527547
C10,9.522979419690722
H11,2.056815903761453
C12,9.508716808180573
H13,2.0751945334987987
C14,9.576329239203533
H15,2.084630776868247
C16,9.525089066201549
H17,2.0658054806955897
C18,9.530945656598673
O19,10.914380204529122
H20,1.7688694800479565
C21,9.677762148203044
O22,10.941632765109311
N23,10.346083164062268
H24,1.8890945007160505
C25,9.595150305870188
H26,2.0297477198703913
C27,9.560958545646077
H28,2.0761887371929006
C29,9.643913599003298
H30,2.09259712499676
H31,2.089716250317784
C32,9.71498196679994
H33,2.0842954839734573
H34,2.0853887770656896
H35,2.0834446082420888
C36,9.723150960248018
H37,2.0887328440753485
H38,2.0856594965422026
H39,2.0905967925884954
C40,9.718355486925129
O41,10.908293341450047
O42,10.889834680624366
H43,1.7615783049053237
