 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,C35,O36,O37,H38
N1,0.0,1.963102176966896,1.8922333867191723,3.0462063513009396,0.08516797850133295,0.20465003723210815,0.02494136916116918,0.005961322327094565,0.033144198850561316,0.004993505936829706,0.0002544255051863953,0.006347946813024058,0.00020511465794859074,0.0009983923807963674,6.442045008026032e-05,0.0012245673319205008,8.689857122012867e-05,0.001525024320100793,0.00042359071984053587,1.4588242614466118e-05,0.2350607978660805,0.06038859720845871,0.03263405810658368,0.005891044426718103,0.0002488080539689852,0.001257799701747872,0.00027205454588308253,8.400537013897313e-06,0.0008047752066783209,1.7077548015609345e-05,4.086536351677328e-05,0.004351582731711823,0.0007942012739798887,0.0004392134655595292,0.001106093887960291,0.00016692841753249144,8.906796073347711e-05,3.885101357181675e-06
H2,0.0,0.0,0.027154269630727423,0.10705261507224473,0.007139827869442783,0.03252943122566998,0.001409355581416749,0.0004927014029210142,0.004536061234452382,0.0008872507013326647,4.273737721871562e-05,0.000853537133604032,6.07494442075307e-05,0.00014959445538331728,2.5866416757391875e-05,0.00016961138110904717,2.84255445466286e-05,0.0002445271028052032,5.979571303049713e-05,3.929309847716667e-06,0.008164411000949667,0.0022983840887396134,0.00046708940867501436,9.747973337603799e-05,4.028364815056307e-06,1.4212112471212457e-05,5.636859816693374e-06,8.833357290072286e-07,3.1487845603139775e-05,1.1018931957984535e-06,2.2471939098434035e-06,0.0001086562193460816,1.9952054810312703e-05,6.183260229608578e-06,3.685046048840235e-05,2.6670308067244797e-05,4.37368600803012e-06,8.427151032552871e-07
H3,0.0,0.0,0.0,0.10473297981607932,0.03518853107160402,0.00841741021414999,0.00031477201882168515,0.004231649641369906,0.000849725227708209,0.0003355948038140655,2.8806199023012624e-05,0.0001045690945024047,7.181843442838343e-06,9.653445802171312e-05,1.2092095871052422e-05,3.0512059406628822e-05,2.701008575911601e-06,1.0265294647537893e-05,1.7828721581292228e-06,3.566165178714442e-07,0.021206350274854402,0.052439027242233927,0.0033539409932512587,0.00038713013156499443,4.706572433477163e-05,6.618524830870331e-05,1.1308506062679413e-06,1.8827795602582853e-06,0.0003188080582203767,5.915257850208633e-07,7.21872152498193e-06,0.001502626775286342,0.0003335213758894895,7.599153577286799e-05,0.00012232634424413913,7.802573123638634e-05,1.2821857818701154e-05,1.9942584073007197e-07
C4,0.0,0.0,0.0,0.0,1.8412424395960278,2.664022247197533,0.09358966009636793,0.08392548195341587,0.17174628228153843,0.03424273841764067,0.0006289899442000202,0.03510109826402183,0.0004896167603127832,0.004697983150264151,0.00015910488055670413,0.004571356100525226,0.00010672895421670603,0.011722199840727338,0.0029402656018999718,2.1887988746360776e-05,2.563237931393706,0.2759638027414754,0.2049313024845174,0.035299175794134,0.001898500432087058,0.004946765019601451,0.0013548473412181572,4.7717179806561205e-05,0.00515601587576367,0.00012076694523854847,0.00030973515937904317,0.029112465042043012,0.006576723109767535,0.002440914442261244,0.006019685359875793,0.0012252860899600593,0.0010231872766651995,6.040912343585614e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07685347911879115,0.0036543835449860396,0.033450093108245316,0.0099292582928312,0.00306452181631256,0.0004498096242302463,0.0009190061163961705,0.00012580068918133236,0.00031735604445159993,3.0618178243901895e-05,0.0005469337912995531,6.551203016513796e-06,0.0003643221849232159,9.333872046657365e-05,4.490790846300996e-06,0.08927479683271233,0.0214174691464476,0.006626084903657903,0.001226617034687516,5.3428803175270545e-05,0.0006773155662307406,8.959810007413971e-05,4.55056165371559e-06,0.0019677091873784303,0.00020284580031026955,5.7310806045318685e-05,0.019693089167739597,0.005860230803211186,0.003539812283002375,0.00022287024045186676,2.1354403176965242e-05,3.587664977211524e-05,4.866177946816208e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7622925592983667,1.9192395524608126,2.845102070078024,0.23962933824577087,0.014859551693836792,0.23709525934531067,0.013364599133694366,0.03638214281471276,0.002414904472442858,0.036409933748780515,0.00224556433206069,0.020666444401188616,0.005254357839788032,0.000290669075294514,0.18247428341138797,0.03811971956818504,0.025298861305353276,0.0036008345182502177,0.0004737454252203843,0.00047059966805210185,8.131477170958412e-05,4.285950166771357e-06,0.00038023023060979044,2.9830145841236444e-05,7.270888641608408e-05,0.0029718778328888806,0.0007257794048930455,0.000536872424824919,0.0010982638136308176,0.0004391855014460877,0.00018024134548946802,3.3378862315025515e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024767875284611218,0.09836640371023275,0.018257513047478247,0.006279057050391446,0.026282657511959573,0.0007028832194471146,0.001760755259528457,5.832452475718064e-05,0.0029084066284648102,0.0006279110335203342,0.0024975984833823794,0.0005778515537140372,7.10077826635569e-05,0.029474741133021176,0.00482292692706221,0.003579186989774996,0.0007393527946111256,5.2189541602132294e-05,8.942824052127207e-05,2.7304995586563408e-05,1.0979934845778416e-06,2.9370212636159465e-05,2.2556178325139342e-06,6.344245596645592e-06,0.00016693977400361604,3.0144512920049493e-05,7.38509706288415e-05,0.00019147076097802973,8.948280624143656e-05,2.936336772541015e-05,2.9904484439846613e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09608038583045064,0.026272618656818292,0.0006069378539872439,0.016017479444754068,0.004246163726470131,0.0029560448422915053,0.0005964220413501309,0.0016071120528742266,4.420553155282114e-05,0.0029635720492044992,0.0007173336494387117,1.1779434611280948e-05,0.015060261999004787,0.012556336171099414,0.001898627524140828,0.00020016756984131412,6.241381000027246e-06,3.717750976095502e-05,3.1172983296912093e-06,2.6792613883053207e-07,0.0001960987790730062,3.301365890218122e-06,7.093470230090659e-06,0.0008251313370246649,0.00022356826778691108,0.0001720101271143193,4.9620794753790776e-05,3.423404811764286e-05,1.759623623842632e-05,2.290704768315166e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7687126966833002,0.12305305442313319,3.5057088068367968,0.1254250818799778,0.3322678382554993,0.026581998586570288,0.32304895158090063,0.02530377426109598,0.2659627532155374,0.054407601686541116,0.0014139851550618587,0.011320447067934947,0.003431768378668279,0.002829390257468284,0.0003241339681718247,7.740605636097353e-05,0.000300136682268054,4.976655041644129e-05,1.4183189477101621e-05,0.0007726784950876919,0.00011128497779333557,3.227003859884725e-05,0.00929799700585543,0.017516815777822048,0.0002898739099401748,0.0006255572942702181,0.002262984305951954,0.0002380731067159747,3.177508133023199e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7416543422214035,0.33301768644339813,0.0286183806775957,3.93513524635094,0.13009579011473127,0.3003775970213785,0.0039372199554017495,0.3377937446244136,0.041468804715164814,0.0038459373127348595,0.0022140840499018655,0.0008455057019010753,0.0006648251392980808,0.00012863028296392076,2.834802057194441e-05,0.00021148133168683025,2.879126534938159e-05,6.512650709611378e-06,0.0005487689175084631,0.00030946841789813995,8.747230744843293e-06,0.0051162297179021266,0.009828293455071524,0.00014143913364206284,0.00015840967333272116,0.0004820185544878036,4.3124452901013854e-05,5.388457436250604e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028597690077698967,0.0017005602882631532,0.1308937762947897,0.00852573019616254,0.0035078964742285557,0.0004202102501567051,0.026393812873344746,0.0030476374244687854,0.0013122315262559248,0.00010480441470384072,0.00010302920545879335,7.86684290221551e-06,4.712261946426821e-06,4.436442400113094e-07,1.7864751116203337e-06,1.821301385263041e-07,1.387717296630342e-07,2.178242916039963e-06,5.244444354346456e-07,2.9515927701950773e-08,2.101323985748138e-05,5.619976027504414e-05,1.3028123406755299e-06,1.787641461459266e-05,5.074585786324359e-05,4.866393109037581e-06,2.9798137646253053e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1170766984200213,0.30515417298992115,0.003954979992589536,3.874850763771732,0.1273003471298797,0.34839578714928254,0.04486997216938257,0.002858977211100844,0.008324429636019787,0.001957497120754853,0.004939212231435383,0.0005317207641275523,0.00020119568960164091,0.00025454919787350205,6.16390998456895e-05,3.447053071259365e-05,0.0007798472886990371,0.001222907824039221,1.3877175391030505e-05,0.007241927112411062,0.006997032463343711,0.0005254073439733276,0.004070368738679081,0.018089200719141642,0.0013985983563298832,5.803925729819248e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034980310454779673,0.00040855030118192026,0.1343430541244699,0.008769875654428327,0.026419458014804276,0.003103156746043334,0.00019972332937268078,0.004467182205164955,0.0024901984894559748,0.0007485107801492585,0.00018548834586207263,1.2926467569451816e-05,9.632080426591472e-05,4.868416618508675e-06,8.62648711885683e-06,1.0469743436436474e-05,5.8989782889540265e-06,3.214906056925315e-07,7.721367860868966e-05,5.601345876193875e-05,4.242266352205704e-06,0.0044950858494123835,0.026388105418422958,0.0015121307413660245,2.761841611720328e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118874004435351,0.32458508113830775,0.027625756006241398,3.4332139991229313,0.2967350831892031,0.03402699910166229,0.0013255956273207359,0.00023456948679273504,0.0009529152354919163,0.00010324823950669249,3.082927444075789e-05,4.099499923146399e-05,4.2869635891173985e-06,1.3375508410851111e-06,0.00011074162910292007,7.154060932568207e-05,2.295713077193895e-06,0.001243731802823278,0.001352106334262193,6.323737996338785e-05,0.00016966483917282837,0.00044530879276457463,6.017671733139773e-05,1.4459084443418924e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028086738200271855,0.0019616666890196477,0.13383429950988823,0.012404802905322199,0.0012509516569290113,7.771551849167224e-06,7.862918349088588e-06,1.025683295630131e-06,2.8194848411544626e-07,1.000093590164397e-07,1.2082167621940698e-07,7.463723639133946e-09,1.5605159386922196e-08,3.071781389252237e-07,2.4320250480158734e-08,1.1868961369287945e-09,5.6420337417595334e-06,2.9373150696176964e-05,2.080871097653869e-07,2.20974665587903e-06,5.176051013910943e-06,3.739757507004171e-07,6.711604161324658e-09
