atom_numbers,value
N1,10.552718499568117
H2,1.9367344297839486
H3,1.925310363056239
C4,9.618224745926597
H5,2.085602694390885
C6,9.609683454385939
H7,2.0672575638818707
H8,2.071446956880002
C9,9.475323265389557
C10,9.518906393118849
H11,2.0809383625181965
C12,9.495299471405035
H13,2.0600467118295636
C14,9.528120517410647
H15,2.069507229189337
C16,9.569683580644927
H17,2.0814134332710785
C18,9.53642035662301
O19,10.91619472400289
H20,1.770342875738513
C21,9.732061736805658
O22,10.946887475662216
N23,10.338945854676854
C24,9.570276523609452
H25,2.0504991310544485
C26,9.614071284221415
H27,2.071583644461499
H28,2.0765971009550137
C29,9.630012270606192
H30,2.0648122206690562
H31,2.0781164916869117
C32,9.634356927728945
H33,2.0598089426557973
H34,2.0975834503430146
C35,9.741171232394212
O36,10.919570935154342
O37,10.932586173502612
H38,1.7623137587319198
