atom_numbers,value
N1,10.514166157373795
H2,1.9223389561695132
H3,1.9409971096015923
C4,9.61754861676681
H5,2.0680205530004416
C6,9.622891974031601
H7,2.053687624068948
H8,2.086109332791594
C9,9.481285038950105
C10,9.494326271617863
H11,2.0757864362579883
C12,9.512197025450364
H13,2.0731677270838285
C14,9.513889635953394
H15,2.064928663195762
C16,9.54971407352126
H17,2.0798472881443035
C18,9.512756275309293
O19,10.929555140580561
H20,1.7673079708393726
C21,9.73539902973158
O22,10.93699037171071
N23,10.357611577733346
H24,1.8795374175010102
C25,9.57212579618502
H26,2.0396587918431597
C27,9.622528162485056
H28,2.05569166955903
H29,2.0737613268973574
C30,9.503484082530262
C31,9.55957523954938
H32,2.06983233470801
C33,9.454390936970738
N34,10.35981167108791
H35,1.8813769841937993
C36,9.486216927461646
C37,9.520672481621885
H38,2.0783191911545673
C39,9.541226421895251
H40,2.083331105627903
C41,9.527912304883833
H42,2.0838489227549184
C43,9.522231726146765
H44,2.0819976249012195
C45,9.780278395580144
O46,10.930545434243822
O47,10.924301064522117
H48,1.7583000740447081
